        hue,r,g,b,hex,name
24.67,180,117,73,c68f65,butterum
24.83,164,113,77,b4835b,biscuit
19.09,167,107,79,a47149,cashew
30.37,160,120,79,a7754d,almond
12.77,147,110,100,a0714f,lion
23.86,164,114,81,936b4f,thrush
21.69,163,110,80,a47864,mocha-mousse
14.4,174,98,74,a36e51,pecan-brown
15.7,166,87,59,ae7250,hazel
21,163,85,43,a66e4a,bran
52.78,151,138,43,a3623b,adobe
28.5,145,124,105,97572b,leather-brown
9.64,196,102,84,91552b,glazed-ginger
10.56,195,92,70,c48a69,sandstone
5.35,166,74,65,c37c54,caramel
21.14,152,84,47,a66646,amber-brown
9.51,140,71,58,985c41,sierra
54.55,140,132,52,8c4a2f,ginger-bread
50,117,114,99,8c543a,mocha-bisque
14.46,198,113,86,754734,tortoise-shell
16.2,179,106,79,c68463,pheasant
6.06,185,87,76,b37256,sunburn
11.25,181,90,69,b9714f,raw-sienna
14.04,189,81,48,b56a4c,autumn-leaf
65.34,181,194,48,bd5745,mecca-orange
240,159,159,172,b55a30,rust
9.57,210,152,141,9f5130,bombay-brown
59.23,179,178,101,d2c2ac,frosted-almond
8.92,189,126,115,b39f8d,gilded-beige
9.27,200,107,90,bd9865,pale-gold
41.28,196,162,87,c8b273,rich-gold
359,186,112,161,c47e5a,copper
17.01,162,114,95,ba6b57,copper-coin
359,146,94,101,a2a2a1,silver
14.75,143,97,82,92705f,raw-umber
10.24,126,92,85,8f7265,brownie
19.32,135,95,76,7e5e52,acorn
23.77,133,101,80,876155,clove
12.35,143,89,75,855c4c,carob-brown
13.95,152,86,66,8f5f50,russet
12,156,96,81,8.65E+51,rawhide
11.61,154,79,61,98594b,chutney
14.55,131,81,65,9c5642,baked-clay
14.79,133,78,60,9a6051,copper-brown
11.54,135,72,57,834f3d,brown-patina
8.57,128,74,65,855141,rustic-brown
10.53,113,66,56,874e3c,coconut-shell
5.71,102,64,60,804839,sequoia
9.06,110,65,57,714a41,root-beer
